27000
0 add 12 24
8 renice 12 0
12 add 200 10000
12 renice 200 39
8000 add 12000 4000
9000 add 123 200
9000 add 234 199
9008 add 500 1000
9010 add 499 1000
9020 add 498 100
9021 add 497 100
9022 add 496 100
9023 add 495 100
9033 add 494 100
9034 add 493 100
9075 add 492 100
9075 renice 500 -2
9085 add 491 100
9086 add 490 100
9090 add 489 100
9098 add 488 100


9101 renice 498 3
9103 renice 497 -10
9109 renice 496 100
9111 renice 495 10
9112 renice 494 10
9120 renice 493 1
9130 renice 492 100
9131 renice 491 100
9139 renice 490 85
9177 renice 489 12
9188 renice 488 -20

9199 renice 500 10
9199 renice 123 100
9200 renice 499 10
11000 add 1212 87
11080 renice 12000 10
12000 renice 12000 -1
12009 add 999 8000
13000 kill 999
17109 kill 123
17175 kill 490
